question,answers,top_uris
"How should a technician properly vent and service the oil cooler during commissioning, and what safety precautions must be observed regarding the sequence of filling with oil versus coolant?","['62773297803.html', '15139963147.html']","['1513371777162079968011.html', '65293547147.html', '1467905306762079958027.html', '1467905306762079958027.html', '1513352781962079978763.html']"
"What are the responsibilities of the service technician when the differential pressure across the oil filter becomes too high, and what procedure should they follow to address this issue?","['62773297803.html', '15139963147.html']","['14505315979.html', '62938365451.html', '1510864129162080027403.html', '1508675572362079879819.html']"
"What specific actions must be taken when a process gas flow across stage group IV triggers a reverse flow protection alarm, and how does this relate to the hazard zones that must be defined by the operating company?","['62773297803.html', '15139963147.html']","['1510863002762939131403.html', '62957237643.html', '62952451723.html']"
"What are the required qualifications for personnel performing commissioning activities, and what documentation must be created together with MAN Energy Solutions personnel after the initial test run?","['62773297803.html', '15139963147.html']","['1494832410762079730315.html', '22805926795.html', '00_doc001.pdf', '00_doc001.pdf', '00_doc001.pdf']"
What safety measures should be taken during the initial start-up of a marine compressor system that differ from normal operation?,"['62265996171.html', '1494839015562079861643.html']","['62079869835.html', '62204597771.html', '62079890059.html', '01_doc006.pdf', '62079890059.html']"
How should the oil system and seal gas system be sequenced during start-up to prevent oil contamination in the process?,"['62265996171.html', '1494839015562079861643.html']","['62204702091.html', '62079869835.html', '1508675572362079879819.html', '65276680331.html']"
What are the required steps for properly venting both sides of an oil cooler after maintenance or cleaning?,"['62265996171.html', '1494839015562079861643.html']","['65293547147.html', '65293547147.html', '1513352781962079978763.html', '1513352781962079978763.html']"
What specific actions should be taken if a compressor experiences multiple surge events within a short time period?,"['62265996171.html', '1494839015562079861643.html']","['1467905306762079958027.html', '01_doc006.pdf', '2979490906762079986443.html', '48435000459.html', '01_doc006.pdf']"
What are the responsibilities of MAN Energy Solutions personnel versus the operating company during commissioning and handover of a marine machine unit?,"['62265996171.html', '1494839015562079861643.html']","['1494832410762079730315.html', '00_doc001.pdf', '00_doc001.pdf', '1494838759562079849867.html', '1509612532362079402891.html']"
"What safety measures should be implemented during the initial start-up of a machine unit after maintenance, and who is authorized to perform this procedure?","['62938412171.html', '62150213515.html']","['1494832410762079730315.html', '1494839629962079824779.html', '1494839220362079802763.html', '1494839629962079824779.html']"
How should the oil cooler be serviced and vented properly while ensuring environmental protection and maintaining proper system operation?,"['62938412171.html', '62150213515.html']","['65293547147.html', '1467905306762079958027.html', '1513352781962079978763.html']"
"What are the responsibilities of the service technician regarding commissioning activities, and what qualifications must they possess according to MAN Energy Solutions requirements?","['62938412171.html', '62150213515.html']","['29497974027.html', '00_doc001.pdf', '00_doc001.pdf', '00_doc001.pdf', '1509612532362079402891.html']"
What steps should be taken when the differential pressure across the oil filter is too high during the start-up of the oil system?,"['62938412171.html', '62150213515.html']","['14505315979.html', '62938365451.html', '62079869835.html', '62204702091.html']"
"How should hazard zones be identified and managed during commissioning, and what protective measures must be implemented when working near the machine unit?","['62938412171.html', '62150213515.html']","['1510410689162079423627.html', '1494832410762079730315.html', '1494839629962079824779.html', '1494839220362079802763.html']"
"What safety measures should be taken during the initial start-up of a machine unit that has just had its oil system serviced, considering both commissioning requirements and protective measures for personnel?","['62079727243.html', '62939096715.html']","['1494832410762079730315.html', '1494839629962079824779.html', '1494839629962079824779.html', '1494839220362079802763.html']"
"How should I properly document and hand over a machine unit after completing the installation checks and initial start-up, ensuring all safety requirements are met according to MAN Energy Solutions standards?","['62079727243.html', '62939096715.html']","['1494832410762079730315.html', '1494832410762079730315.html', '1494839220362079802763.html', '1494839629962079824779.html', '1494839220362079802763.html']"
"What are the required steps for venting an oil cooler after servicing it, considering both the oil side and water side procedures to prevent system contamination?","['62079727243.html', '62939096715.html']","['1513371777162079968011.html', '65293547147.html', '1467905306762079958027.html', '1513352781962079978763.html']"
"When performing installation checks on a newly commissioned machine unit, what specific safety features need to be verified regarding both the pressure equipment and the control systems?","['62079727243.html', '62939096715.html']","['1494832410762079730315.html', '1494839220362079802763.html', '1494839220362079802763.html', '1494832410762079730315.html']"
What are the responsibilities of the service technician versus the operator when addressing a high differential pressure alarm across the oil filter during machine operation?,"['62079727243.html', '62939096715.html']","['14505315979.html', '62938365451.html', '29497974027.html']"
What safety measures should be taken during the initial start-up of a marine compressor that aren't required during normal operation?,"['63017771147.html', '62924230027.html']","['62204597771.html', '01_doc006.pdf', '62079890059.html', '63028244107.html']"
How should I properly commission both the oil system and seal gas system when starting up a marine compressor for the first time?,"['63017771147.html', '62924230027.html']","['65276680331.html', '62079869835.html', '01_doc006.pdf', '62079696907.html', '62204702091.html']"
What are the required steps for servicing an oil cooler while ensuring environmental protection and preventing contamination between oil and cooling water systems?,"['63017771147.html', '62924230027.html']","['65293547147.html', '1467905306762079958027.html', '1513352781962079978763.html']"
What actions should be taken if the differential pressure across the oil filter is too high and the oil temperature is below operating temperature?,"['63017771147.html', '62924230027.html']","['62938365451.html', '1510864129162080027403.html', '62079869835.html', '62918873227.html', '62204702091.html']"
What safety measures should be taken during the initial start-up of a marine compressor that are different from normal operation?,"['62772849675.html', '62205805451.html']","['62079890059.html', '01_doc006.pdf', '62204597771.html', '63028244107.html']"
How should I properly commission both the oil system and seal gas system when starting up a marine compressor unit?,"['62772849675.html', '62205805451.html']","['65276680331.html', '62079869835.html', '01_doc006.pdf', '1508678209162079948299.html', '62204702091.html']"
What are the required steps for servicing an oil cooler while ensuring environmental protection and proper system integrity?,"['62772849675.html', '62205805451.html']","['65293547147.html', '1513371777162079968011.html', '1467905306762079958027.html', '1513352781962079978763.html']"
What procedures should be followed when the differential pressure across the oil filter is too high and the reverse flow protection system has been triggered?,"['62772849675.html', '62205805451.html']","['14505315979.html', '62938365451.html', '1510864129162080027403.html', '62918873227.html']"
What are the responsibilities of both MAN Energy Solutions personnel and the operating company during commissioning and handover of a marine machine unit?,"['62772849675.html', '62205805451.html']","['1494832410762079730315.html', '00_doc001.pdf', '00_doc001.pdf', '00_doc001.pdf', '1494838759562079849867.html']"
"What safety measures should be implemented during the initial start-up of the machine unit after maintenance work on the oil system, considering both commissioning requirements and protective measures?","['63151855627.html', '15484114571.html']","['1494832410762079730315.html', '1494839629962079824779.html', '1494839629962079824779.html', '1494839220362079802763.html', '62079869835.html']"
How should I properly vent the oil cooler during commissioning while ensuring compliance with the required safety protocols for both personnel and environmental protection?,"['63151855627.html', '15484114571.html']","['1513371777162079968011.html', '65293547147.html', '1467905306762079958027.html', '1513352781962079978763.html']"
What are the responsibilities of the service technician versus the operator when performing the installation check and initial start-up of the machine unit?,"['63151855627.html', '15484114571.html']","['29497974027.html', '29497974027.html', '1509612532362079402891.html']"
What procedures should be followed when the differential pressure across the oil filter is too high during the start-up of the oil system?,"['63151855627.html', '15484114571.html']","['14505315979.html', '62938365451.html', '62079869835.html', '62204702091.html']"
"What safety precautions must be taken when working in hazard zones during commissioning of the machine unit, especially when dealing with potential gas leakage?","['63151855627.html', '15484114571.html']","['1509612532362079402891.html', '1494832410762079730315.html', '1510410689162079423627.html', '1494839629962079824779.html', '1494839220362079802763.html']"
"What are the specific responsibilities of a service technician during the initial start-up of a marine compressor system, and what safety measures must they follow when working with the oil system?","['15040312587.html', '20472347787.html']","['62079890059.html', '62079869835.html', '1513371777162079968011.html', '1508678209162079948299.html', '62204702091.html']"
How should a technician properly commission and vent both the oil cooler and process gas cooler systems to ensure safe operation during initial start-up?,"['15040312587.html', '20472347787.html']","['62079869835.html', '1508675572362079879819.html', '62774700555.html', '62205805451.html']"
"What procedures should be followed when the differential pressure across the oil filter is too high during commissioning, and how does this relate to the required protective measures for the machine unit?","['15040312587.html', '20472347787.html']","['62938365451.html', '1510864129162080027403.html', '02_doc004.pdf', '62918873227.html']"
"What are the required steps for testing the automatic activation of the auxiliary oil pump, and how does this relate to the commissioning safety requirements outlined in the documentation?","['15040312587.html', '20472347787.html']","['15047812235.html', '62924230027.html', '1495056244362079543307.html', '62078676875.html', '1504039924362208843531.html']"
"What specific hazard zones must be considered during the commissioning of a marine compressor system, and what protective measures must be implemented when starting up the oil system for the first time?","['15040312587.html', '20472347787.html']","['1494839629962079824779.html', '1494839220362079802763.html', '1532489716362080138763.html', '00_doc003.pdf', '62204702091.html']"
"What safety measures should be implemented during the initial start-up of the oil system to prevent hazards, considering both the commissioning requirements and the specific oil system components?","['62972428683.html', '62940092555.html']","['1494839629962079824779.html', '62079869835.html', '1508675572362079879819.html', '2044892353167418129803.html', '62204702091.html']"
"How should a service technician properly vent and service the oil cooler during maintenance, while ensuring compliance with the commissioning safety protocols?","['62972428683.html', '62940092555.html']","['1513371777162079968011.html', '65293547147.html', '65293547147.html', '1467905306762079958027.html', '1513352781962079978763.html']"
"What are the required steps for testing the automatic activation of the auxiliary oil pump, and how does this relate to the safety features that must be maintained during commissioning?","['62972428683.html', '62940092555.html']","['62924230027.html', '1495056244362079543307.html', '62078676875.html', '1508675572362079879819.html', '1504039924362208843531.html']"
"When performing installation checks prior to commissioning, what specific oil system components need to be verified for proper installation and what safety considerations must be addressed?","['62972428683.html', '62940092555.html']","['1494839220362079802763.html', '00_doc001.pdf', '1494839373962079813515.html', '1508675572362079879819.html']"
"What are the responsibilities of the service technician versus the MAN Energy Solutions supervisor during the initial start-up procedure, particularly regarding the oil system components?","['62972428683.html', '62940092555.html']","['29497974027.html', '00_doc001.pdf', '1509612532362079402891.html']"
What safety precautions should be taken during the initial start-up of a marine compressor that aren't necessary during normal operation?,"['62205930251.html', '21579357067.html']","['62204597771.html', '62079890059.html', '62079869835.html', '62079890059.html', '63028244107.html']"
"How should I properly commission both the oil system and seal gas system when preparing a machine unit for operation, considering their interdependencies?","['62205930251.html', '21579357067.html']","['62204264331.html', '1508675572362079879819.html', '62204702091.html', '62079869835.html', '1508678209162079948299.html']"
What are the required steps for testing the automatic activation of the auxiliary oil pump while ensuring the main oil pump remains operational?,"['62205930251.html', '21579357067.html']","['62924230027.html', '1495056244362079543307.html', '62078676875.html', '1508675572362079879819.html', '1504039924362208843531.html']"
What procedures should be followed when servicing the oil cooler to prevent environmental contamination and ensure proper system functionality after maintenance?,"['62205930251.html', '21579357067.html']","['65293547147.html', '1513371777162079968011.html', '1513352781962079978763.html']"
What are the specific responsibilities of MAN Energy Solutions personnel versus the operating company's personnel during commissioning and initial start-up of a marine compressor?,"['62205930251.html', '21579357067.html']","['1494839629962079824779.html', '00_doc001.pdf', '00_doc001.pdf', '01_doc006.pdf', '00_doc001.pdf']"
What safety measures should be taken during the initial start-up of a machine unit that are different from normal operation?,"['14678893579.html', '1494981338762080070411.html']","['1494832410762079730315.html', '1494839629962079824779.html', '1494839629962079824779.html', '1494839220362079802763.html', '1494839220362079802763.html']"
How should I properly commission both the oil system and seal gas system when starting up a marine compressor unit?,"['14678893579.html', '1494981338762080070411.html']","['65276680331.html', '62079869835.html', '01_doc006.pdf', '1508678209162079948299.html', '62204702091.html']"
What procedures should be followed when testing the automatic activation of the auxiliary oil pump while ensuring proper oil pressure is maintained throughout the system?,"['14678893579.html', '1494981338762080070411.html']","['15047812235.html', '62924230027.html', '62079869835.html', '62204702091.html']"
"What are the required actions when the differential pressure across the oil filter becomes too high, and how does this relate to the cooling water quality requirements for the oil cooler?","['14678893579.html', '1494981338762080070411.html']","['1500631617162080116235.html', '62938365451.html', '1510864129162080027403.html', '62265996171.html', '62918873227.html']"
"What steps should be taken if process gas flow across stage group IV goes outside the permissible range, and how does this relate to the hazard zones that need to be defined around the machine?","['14678893579.html', '1494981338762080070411.html']","['62957204107.html', '1510863002762939131403.html', '62957237643.html', '62957221259.html']"
"What safety measures should be taken during the initial start-up of a machine unit that are different from normal operation, and why is this period considered higher risk?","['62998579339.html', '62205900299.html']","['1494832410762079730315.html', '1494839629962079824779.html', '1494839629962079824779.html', '1494839220362079802763.html', '1494839220362079802763.html']"
"How should I properly test the automatic activation of the auxiliary oil pump, and what actions should I take if the oil pressure is insufficient during testing?","['62998579339.html', '62205900299.html']","['62924230027.html', '1513371777162079968011.html', '1467905306762079958027.html']"
"What are the required steps for commissioning a new machine unit, including both the installation checks and the proper sequence for initial start-up?","['62998579339.html', '62205900299.html']","['1494839220362079802763.html', '15095885579.html', '1494832410762079730315.html', '22805926795.html', '62079869835.html']"
"What is the correct procedure for venting both the oil cooler and process gas cooler during maintenance, and why is the order of filling the oil cooler important?","['62998579339.html', '62205900299.html']","['62774700555.html', '65293547147.html', '1467905306762079958027.html', '1513352781962079978763.html']"
"What specific quality requirements must be met for both seawater cooling and demineralized water in this marine compressor system, and what fouling factor considerations apply?","['62998579339.html', '62205900299.html']","['1495009153162080104203.html', '62079869835.html', '62265996171.html', '1508675572362079879819.html']"
"What safety measures should be taken during the initial start-up of a machine unit that are different from normal operation, and who is authorized to perform this task?","['14948383499.html', '20503717003.html']","['1494832410762079730315.html', '1494839629962079824779.html', '1494839629962079824779.html', '1494839220362079802763.html', '1494839220362079802763.html']"
How should the oil cooler be serviced and vented properly to prevent coolant from entering the oil circuit in case of a leak?,"['14948383499.html', '20503717003.html']","['65293547147.html', '65293547147.html', '1513352781962079978763.html', '1513352781962079978763.html']"
"What are the required steps for testing the automatic activation of the auxiliary oil pump, and what actions should be taken if the oil pressure is insufficient?","['14948383499.html', '20503717003.html']","['15047812235.html', '62924230027.html', '1495056244362079543307.html', '1508675572362079879819.html', '1504039924362208843531.html']"
"What specific safety precautions and protective measures must be implemented when operating a machine unit with high pressures, temperatures, and potentially hazardous media?","['14948383499.html', '20503717003.html']","['1510410689162079423627.html', '63150208011.html', '1509612532362079402891.html']"
"What is the proper procedure for performing a normal shutdown of the machine train, and what manual steps must be taken after the automated shutdown sequence is complete?","['14948383499.html', '20503717003.html']","['62205930251.html', '62079869835.html', '73600881675.html', '1508676634762079937547.html']"
"What safety measures should be taken during the initial start-up of a machine unit that are different from normal operation, and who is authorized to perform this start-up?","['65276680331.html', '62817154571.html']","['1494832410762079730315.html', '1494839629962079824779.html', '1494839629962079824779.html', '1494839220362079802763.html', '1494839220362079802763.html']"
"How should the oil system and seal gas system be sequenced during startup to prevent oil contamination in the process gas, and what specific conditions must be met before activating the auxiliary oil pump?","['65276680331.html', '62817154571.html']","['62204702091.html', '62079869835.html', '1508675572362079879819.html', '62204702091.html']"
"What are the required steps for properly venting both the oil and water sides of an oil cooler during commissioning or after maintenance, and why is the sequence of filling important?","['65276680331.html', '62817154571.html']","['65293547147.html', '1513352781962079978763.html', '1513352781962079978763.html']"
"What procedures should be followed when the differential pressure across the oil filter becomes too high, and how does this relate to the hazard zones defined in the machine unit documentation?","['65276680331.html', '62817154571.html']","['62938365451.html', '1510864129162080027403.html', '62918873227.html']"
"What are the responsibilities of MAN Energy Solutions personnel versus the operating company during commissioning, and what specific documentation must be created together before handover?","['65276680331.html', '62817154571.html']","['1494832410762079730315.html', '00_doc001.pdf', '00_doc001.pdf', '00_doc001.pdf', '1494838759562079849867.html']"
